Gridworld,Expanded Nodes (Repeated Forward),Runtime (Repeated Forward),Expanded Nodes (Adaptive A*),Runtime (Adaptive A*)
gridworld_0.txt,6954,0.03335714340209961,6954,0.024886131286621094
gridworld_1.txt,1,8.106231689453125e-06,1,3.814697265625e-06
gridworld_10.txt,6952,0.023814916610717773,6952,0.0249478816986084
gridworld_11.txt,7023,0.024459123611450195,7023,0.0246431827545166
gridworld_12.txt,13,4.1961669921875e-05,13,3.504753112792969e-05
gridworld_13.txt,532,0.0017218589782714844,596,0.0021550655364990234
gridworld_14.txt,394,0.0014069080352783203,446,0.0016880035400390625
gridworld_15.txt,2,1.2159347534179688e-05,2,6.198883056640625e-06
gridworld_16.txt,1,3.814697265625e-06,1,1.9073486328125e-06
gridworld_17.txt,12,3.790855407714844e-05,12,3.0994415283203125e-05
gridworld_18.txt,7033,0.025179147720336914,7033,0.025619983673095703
gridworld_19.txt,6910,0.02415943145751953,6910,0.024367332458496094
gridworld_2.txt,6987,0.023595094680786133,6987,0.024148941040039062
gridworld_20.txt,88,0.00027179718017578125,88,0.00025773048400878906
gridworld_21.txt,1397,0.004806041717529297,1396,0.005517005920410156
gridworld_22.txt,1475,0.005362987518310547,1409,0.005338907241821289
gridworld_23.txt,7028,0.024341106414794922,7028,0.02502608299255371
gridworld_24.txt,353,0.001194000244140625,590,0.0022568702697753906
gridworld_25.txt,29,8.606910705566406e-05,29,0.00010132789611816406
gridworld_26.txt,6889,0.023645877838134766,6889,0.024509191513061523
gridworld_27.txt,3040,0.011816978454589844,3044,0.011825799942016602
gridworld_28.txt,753,0.0027289390563964844,718,0.002750873565673828
gridworld_29.txt,986,0.00341796875,986,0.0037517547607421875
gridworld_3.txt,7060,0.024867773056030273,7060,0.02529311180114746
gridworld_30.txt,6936,0.02394890785217285,6936,0.02381610870361328
gridworld_31.txt,866,0.003004789352416992,319,0.0012438297271728516
gridworld_32.txt,6972,0.02471613883972168,6972,0.025115013122558594
gridworld_33.txt,6956,0.024377107620239258,6956,0.02473592758178711
gridworld_34.txt,1352,0.004842281341552734,1360,0.0053942203521728516
gridworld_35.txt,1,8.106231689453125e-06,1,2.86102294921875e-06
gridworld_36.txt,7018,0.02447509765625,7018,0.02555704116821289
gridworld_37.txt,7045,0.02527308464050293,7045,0.024692058563232422
gridworld_38.txt,355,0.0012140274047851562,348,0.0013267993927001953
gridworld_39.txt,12,4.1961669921875e-05,12,3.504753112792969e-05
gridworld_4.txt,504,0.0016202926635742188,523,0.0019397735595703125
gridworld_40.txt,1061,0.0036611557006835938,1070,0.003962993621826172
gridworld_41.txt,2467,0.009235858917236328,2466,0.009757757186889648
gridworld_42.txt,572,0.0020151138305664062,597,0.002193927764892578
gridworld_43.txt,6969,0.02409505844116211,6969,0.02419900894165039
gridworld_44.txt,6968,0.023916959762573242,6968,0.02461385726928711
gridworld_45.txt,6941,0.02411198616027832,6941,0.02419877052307129
gridworld_46.txt,1290,0.004665851593017578,1290,0.005223274230957031
gridworld_47.txt,567,0.0020008087158203125,784,0.003229856491088867
gridworld_48.txt,2735,0.010083198547363281,2735,0.010907888412475586
gridworld_49.txt,657,0.002298116683959961,612,0.0023360252380371094
gridworld_5.txt,342,0.0011982917785644531,250,0.0009877681732177734
gridworld_6.txt,7053,0.024594783782958984,7053,0.024823904037475586
gridworld_7.txt,2,1.1920928955078125e-05,2,6.198883056640625e-06
gridworld_8.txt,2207,0.008101224899291992,2207,0.008935928344726562
gridworld_9.txt,739,0.002629995346069336,715,0.002680063247680664
